month,trades,net40_r,expectancy_net40,parent
2023-10,20,-1.3851729969103588,-0.06925864984551794,P5_NONRANGE_D14
2023-11,31,-13.56137288222291,-0.43746364136202937,P5_NONRANGE_D14
2023-12,30,-14.413580337199427,-0.4804526779066476,P5_NONRANGE_D14
2024-01,12,-1.9820175300886382,-0.16516812750738652,P5_NONRANGE_D14
2024-02,12,-8.342480652594684,-0.695206721049557,P5_NONRANGE_D14
2024-03,33,9.986536076130909,0.3026223053373003,P5_NONRANGE_D14
2024-04,33,-3.0316406846738846,-0.09186789953557226,P5_NONRANGE_D14
2024-05,20,-7.673702937701675,-0.38368514688508376,P5_NONRANGE_D14
2024-06,5,-3.03689332694226,-0.607378665388452,P5_NONRANGE_D14
2024-07,25,0.4157151168327968,0.016628604673311873,P5_NONRANGE_D14
2024-08,40,-8.03573212666665,-0.20089330316666626,P5_NONRANGE_D14
2024-09,32,-6.431428901297956,-0.20098215316556112,P5_NONRANGE_D14
2024-10,40,5.82818789105824,0.14570469727645602,P5_NONRANGE_D14
2024-11,5,-3.027982018932807,-0.6055964037865614,P5_NONRANGE_D14
2024-12,6,0.6339120206780933,0.10565200344634888,P5_NONRANGE_D14
2025-01,34,-1.649547126878918,-0.048516091967027,P5_NONRANGE_D14
2025-02,34,11.095614944272565,0.32634161600801664,P5_NONRANGE_D14
2025-03,36,4.208632265511646,0.11690645181976794,P5_NONRANGE_D14
2025-04,31,2.242212973154067,0.07232945074690539,P5_NONRANGE_D14
2025-05,24,2.447790189825494,0.10199125790939557,P5_NONRANGE_D14
2025-06,20,-7.1760014503326905,-0.35880007251663454,P5_NONRANGE_D14
2025-07,22,-7.102728504048523,-0.32285129563856924,P5_NONRANGE_D14
2025-08,16,-10.644744489307293,-0.6652965305817058,P5_NONRANGE_D14
2025-09,43,6.220994807576162,0.1446742978506084,P5_NONRANGE_D14
2025-10,32,14.6016454614054,0.45630142066891877,P5_NONRANGE_D14
2025-11,15,-1.3380032716293428,-0.08920021810862286,P5_NONRANGE_D14
2025-12,41,2.811511376749265,0.06857344821339671,P5_NONRANGE_D14
2026-01,38,3.407662278400865,0.08967532311581224,P5_NONRANGE_D14
2026-02,23,7.390844065826258,0.32134104634027205,P5_NONRANGE_D14
2026-03,12,-2.3576340141320165,-0.19646950117766804,P5_NONRANGE_D14
2026-04,0,0.0,,P5_NONRANGE_D14
2026-05,0,0.0,,P5_NONRANGE_D14
2026-06,0,0.0,,P5_NONRANGE_D14
2023-01,42,-21.363470184500077,-0.5086540520119066,P6_D14_ALL
2023-02,6,1.8422070377886557,0.3070345062981093,P6_D14_ALL
2023-03,25,-4.302422527580565,-0.1720969011032226,P6_D14_ALL
2023-04,18,-6.668984771454934,-0.37049915396971855,P6_D14_ALL
2023-05,16,-9.340778022716457,-0.5837986264197785,P6_D14_ALL
2023-06,0,0.0,,P6_D14_ALL
2023-07,19,-3.870081753606721,-0.20368851334772214,P6_D14_ALL
2023-08,3,-1.5405786078101724,-0.5135262026033908,P6_D14_ALL
2023-09,4,-3.74962296141857,-0.9374057403546425,P6_D14_ALL
2023-10,20,-1.3851729969103588,-0.06925864984551794,P6_D14_ALL
2023-11,31,-13.56137288222291,-0.43746364136202937,P6_D14_ALL
2023-12,30,-14.413580337199427,-0.4804526779066476,P6_D14_ALL
2024-01,12,-2.060556457132543,-0.17171303809437857,P6_D14_ALL
2024-02,15,-11.279295385410068,-0.7519530256940045,P6_D14_ALL
2024-03,33,9.986536076130909,0.3026223053373003,P6_D14_ALL
2024-04,33,-3.0316406846738846,-0.09186789953557226,P6_D14_ALL
2024-05,20,-5.333956931034573,-0.2666978465517286,P6_D14_ALL
