period,candidate_time,side_name,R,anchor_high,anchor_low,resolution_1m,resolution_3m,resolution_5m,resolution_minute_3m,resolution_close_3m,mfe_15m,mae_15m,mfe_60m,mae_60m,ret_60m,impulse60,delayed_release_R,delayed_minus_original_R
historical,2023-10-22 04:55:00,SELL,-1.0200368851283694,29984.2,29933.9,UNRESOLVED,RELEASE,RELEASE,3.0,29929.6,0.19876667144703622,2.5157034275060437,0.19876667144703622,5.82848128495616,-4.625842535493938,0,-1.0200303264974597,6.558630909703211e-06
historical,2023-10-25 01:50:00,SELL,1.6504480124040781,34352.4,34207.6,RELEASE,RELEASE,RELEASE,1.0,34175.5,0.5591466837757535,0.03873606544230491,1.6207394337957908,0.03873606544230491,1.1312053893656222,1,1.327472705643329,-0.32297530676074904
historical,2023-11-24 08:00:00,BUY,-1.0286465707119796,37587.0,37488.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,1.0282375851996755,1.115871470301774,1.0282375851996755,2.0214216163582566,-1.559883154819848,1,,
historical,2023-11-26 11:50:00,SELL,4.155338241500328,37692.0,37670.7,RELEASE,RELEASE,RELEASE,1.0,37666.6,1.7583095916428944,0.05982905982891204,14.18613485280098,0.05982905982891204,4.443969610636223,1,4.030125641025378,-0.1252126004749501
historical,2023-12-10 09:25:00,SELL,-1.0221683642812949,43842.0,43742.0,RELEASE,RELEASE,RELEASE,1.0,43732.1,1.8562276034313714,0.16418720816596602,1.8562276034313714,0.16418720816596602,0.4697578455858539,1,-1.0221612697723,7.094508994942572e-06
historical,2024-01-03 11:10:00,SELL,2.2676240363007807,45119.8,44928.5,RELEASE,RELEASE,RELEASE,1.0,44912.9,3.816251737646899,-0.30725809848771185,27.329457854164005,-0.30725809848771185,21.626606006992688,1,1.4911709198646403,-0.7764531164361403
historical,2024-01-16 09:20:00,BUY,-1.0147190326126823,43049.6,42903.5,RELEASE,RELEASE,RELEASE,1.0,43069.9,1.2065702311748112,0.04258483168852275,1.2065702311748112,1.7384074624848478,-0.8838718399351304,1,-1.0135861069802927,0.0011329256323895365
historical,2024-02-15 07:45:00,SELL,-1.0109607364376123,51943.0,51651.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,-0.04580892748938812,0.5700666532013521,0.48580084831348314,1.5297919612199646,-1.0632195516057426,0,,
historical,2024-03-13 07:00:00,BUY,1.4869415667281747,72800.0,72585.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,2.39464603951016,0.45865089295868144,2.722177985060521,0.45865089295868144,1.1837864482614913,1,,
historical,2024-03-18 05:25:00,BUY,-1.006735195530719,68741.5,68318.9,RELEASE,RELEASE,RELEASE,1.0,68757.9,0.9797921105300486,-0.02350054877655996,0.9797921105300486,0.6559063421352725,-0.47061355370477276,0,-1.0069053349688923,-0.00017013943817323351
