signal_ts,confirm_ts,exit_ts,side,z,atr,entry,exit,R,spread_atr_entry,kind,mfe_atr,confirm_lag_s
1780937100,1780937166,1780937699,BUY,-1.050469566673839,387.8736049107143,63616.609375,63674.79041573661,0.11999999999999872,0.011803136233139276,be,0.569360330154035,66
1780949400,1780949612,1780954207,SELL,1.045800382585762,298.0,63283.5390625,63656.0390625,-1.0,0.003355704697986577,stop,0.10525901845637584,212
1780960200,1780960375,1780963500,SELL,2.0691281392339302,226.65290178571428,63224.48046875,63507.796595982145,-1.0000000000000073,0.004412032637223571,stop,0.3827438312791448,175
1780971000,1780971109,1780975354,SELL,2.176643417789571,218.16127232142858,63443.28125,62971.15876116072,1.7312788243870507,0.004583764979728606,trail,2.6640985304838276,109
1780987200,1780987462,1780989563,BUY,-1.2475504233442847,227.50167410714286,62797.171875,62831.29712611607,0.11999999999999854,0.0043955720498524585,be,0.6534807681458388,262
1780999500,1781000100,1781003554,SELL,1.0718760611238776,205.732421875,63260.0390625,62841.5576171875,1.627284378411734,0.004860682584136327,trail,2.5341054730146677,600
1781010300,1781010416,1781014035,SELL,1.248123515911996,195.56138392857142,62645.01171875,62615.67751116071,0.1200000000000051,0.055669061709935345,be,0.5576893444353767,116
1781021100,1781021748,1781022753,SELL,1.8892977424498871,179.58900669642858,62486.94921875,62460.010867745536,0.12000000000000093,0.00996198226667723,be,1.3301421431312503,648
1781038500,1781039931,1781044631,BUY,-1.217385477649618,351.30245535714283,61838.859375,61891.55474330357,0.11999999999999243,0.002846549987768731,be,0.5245101932540578,1431
1781049900,1781050379,1781050934,BUY,-1.8526113210095865,234.01339285714286,62112.08984375,61819.57310267857,-0.9999999999999964,0.004273259695911788,stop,0.07114309696865641,479
1781071200,1781077108,1781084877,SELL,1.61930342109547,253.14508928571428,61160.7109375,61477.142299107145,-1.0000000000000067,0.005647699917995927,stop,0.45334364997486976,5908
1781085000,1781091301,1781094109,SELL,2.267035671992827,183.38783482142858,61362.671875,60815.04547991072,2.388932267497575,0.005452924404575344,trail,3.4861653343719854,6301
1781096700,1781098231,1781100284,BUY,-1.1421102236879623,241.8359375,61334.37109375,61032.076171875,-1.0,0.005879502503634308,stop,0.37780649329672106,1531
1781107500,1781109004,1781110232,BUY,-1.5596991921104364,286.36495535714283,61656.6015625,62275.30580357143,1.7284356329141028,0.004201369537342693,trail,2.6605445411426323,1504
1781120400,1781120789,1781125403,SELL,1.0459174808026521,396.09793526785717,62092.87109375,62033.45640345982,0.1199999999999979,0.0025246281562254554,be,1.2026302906069604,389
1781131200,1781131801,1781133181,SELL,2.5089569316824996,278.72488839285717,61841.33984375,61799.53111049107,0.11999999999999701,0.003587767155513289,be,0.6737154011712297,601
1781142900,1781144977,1781152589,BUY,-1.114013587929765,234.603515625,61548.55859375,62082.2490234375,1.8198889416152584,0.004345762881190839,trail,2.774861177019073,2077
1781153700,1781159603,1781159780,BUY,-1.971043213370461,229.34263392857142,62298.73828125,62333.139676339284,0.11999999999999421,0.004360288285131709,be,0.9564360482940859,5903
1781164500,1781169683,1781172458,BUY,-1.304493440668079,224.38309151785714,62893.1796875,62612.70082310268,-1.0000000000000036,0.00445666379420758,stop,0.3372441055523018,5183
1781175300,1781175661,1781180197,BUY,-1.4545379073242302,178.19977678571428,62739.30859375,62766.03856026786,0.12000000000000374,0.005611679307558857,be,1.5220584090638642,361
1781186100,1781186149,1781188459,BUY,-1.8183667739690244,143.69587053571428,63118.7109375,63140.26531808035,0.11999999999998034,0.006959142223585745,be,0.7936140549818838,49
1781199300,1781200575,1781201262,SELL,1.559032301201022,257.9497767857143,62784.05859375,62745.36612723214,0.1200000000000071,0.003876723649312271,be,1.0994751712291724,1275
1781210100,1781210747,1781211079,BUY,-1.0033748700529168,272.32533482142856,63388.55078125,63429.39958147321,0.11999999999999207,0.0036720784742841806,be,0.7283481589403431,647
1781220900,1781223182,1781227380,BUY,-1.1349650103321969,293.99888392857144,63479.7109375,63523.81077008929,0.12000000000000338,0.0034013734563800428,be,0.5464651909666202,2282
1781231700,1781232021,1781232525,BUY,-2.004266514715771,142.23688616071428,63549.94921875,63571.28475167411,0.12000000000001287,0.00703052511196072,be,1.0591650859101136,321
1781244600,1781244970,1781245812,SELL,1.111640064617467,189.98297991071428,63468.3203125,63439.82286551339,0.11999999999999739,0.00937583988227329,be,0.7946024300226613,370
1781257801,1781258437,1781263399,BUY,-1.4848568860348317,173.19475446428572,63029.140625,63500.324497767855,2.1764348428463163,0.00577384692217228,trail,3.2205435535579077,636
1781272800,1781277164,1781277600,SELL,1.0603286678745905,189.34709821428572,63592.48046875,63624.76953125,-0.13642274026701245,0.005281306180189208,signal,0.04637646989478648,4364
