Index,flow_id,signal_time,side,signal_i,signal_close,atr0,horizon_time,horizon_close,cost_atr,immediate_net_atr,immediate_gross_atr,filled,depth_atr,limit_price,fill_i,fill_time,delay_bars,delay_hours,stopped,postfill_mae_atr,postfill_mfe_atr,limit_net_atr,limit_bounded_net_atr
2009,2009,2024-06-15 06:45:00+00:00,1,167188,66171.6,106.65000000000146,2024-06-15 18:45:00+00:00,66139.9,0.31022784810126164,-0.6074617909049298,-0.29723394280366816,False,1.5,66011.625,,,,,,,,,
2010,2010,2024-06-16 15:15:00+00:00,1,167318,66577.4,123.0357142857174,2024-06-17 03:15:00+00:00,66321.3,0.27056127721334583,-2.3520707111754864,-2.0815094339621405,True,1.5,66392.84642857141,167358.0,2024-06-17 01:15:00+00:00,40.0,10.0,True,2.1135849056601854,1.6796226415095064,-0.8513207111754566,-1.7698112772133459
2011,2011,2024-06-17 03:15:00+00:00,1,167366,66321.3,170.4142857142859,2024-06-17 15:15:00+00:00,65383.2,0.19458843993628952,-5.699408626037416,-5.504820186101126,True,1.5,66065.67857142858,167380.0,2024-06-17 06:45:00+00:00,14.0,3.5,True,2.8405985413697827,1.6601978372034372,-4.198658626037449,-1.6938384399362896
2012,2012,2024-06-17 15:15:00+00:00,-1,167414,65383.2,252.23571428571555,2024-06-18 03:15:00+00:00,65433.3,0.12960734007306027,-0.32823107637416127,-0.198623736301101,True,1.5,65761.55357142857,167418.0,2024-06-17 16:15:00+00:00,4.0,1.0,True,3.0623991164726965,2.503822954719188,1.1710189236258182,-1.6303573400730602
2013,2013,2024-06-18 03:15:00+00:00,-1,167462,65433.3,441.9714285714295,2024-06-18 15:15:00+00:00,64427.9,0.07402435516193663,2.2007833247139423,2.274807679875879,False,1.5,66096.25714285715,,,,,,,,,
2014,2014,2024-06-18 15:15:00+00:00,-1,167510,64427.9,401.39285714285717,2024-06-19 03:15:00+00:00,65446.1,0.08025541418275647,-2.6169223774357073,-2.536666963252951,True,1.5,65029.989285714284,167532.0,2024-06-18 20:45:00+00:00,22.0,5.5,False,1.3079722395230933,1.113844648100357,-1.1176723774357153,-1.1176723774357153
2015,2015,2024-06-19 03:15:00+00:00,-1,167558,65446.1,251.1785714285709,2024-06-19 15:15:00+00:00,64914.3,0.13027803213422465,1.9869407934025176,2.1172188255367423,False,1.5,65822.86785714286,,,,,,,,,
2016,2016,2024-06-19 16:45:00+00:00,-1,167612,64900.0,169.21428571428623,2024-06-20 04:45:00+00:00,65278.5,0.19176867876741183,-2.428577458843386,-2.2368087800759744,True,1.5,65153.82142857143,167614.0,2024-06-19 17:15:00+00:00,2.0,0.5,False,1.3248205994090354,3.27289995778808,-0.9293274588433971,-0.9293274588433971
2017,2017,2024-06-20 04:45:00+00:00,1,167660,65278.5,151.8357142857151,2024-06-20 16:45:00+00:00,64863.9,0.21496424707155176,-2.9455471138918687,-2.730582866820317,True,1.5,65050.74642857143,167697.0,2024-06-20 14:00:00+00:00,37.0,9.25,True,2.00576280754577,0.7801430117137527,-1.4447971138918894,-1.7142142470715518
2018,2018,2024-06-20 16:45:00+00:00,-1,167708,64863.9,295.27142857142826,2024-06-21 04:45:00+00:00,64648.1,0.10983775218926907,0.6210152160240078,0.7308529682132768,False,1.5,65306.80714285714,,,,,,,,,
2019,2019,2024-06-21 04:45:00+00:00,-1,167756,64648.1,151.42142857142866,2024-06-21 16:45:00+00:00,63642.5,0.21347077692343966,6.427597197981024,6.641067974904463,False,1.5,64875.232142857145,,,,,,,,,
2020,2020,2024-06-21 17:15:00+00:00,-1,167806,63577.1,286.67857142857196,2024-06-22 05:15:00+00:00,64328.5,0.11088568581038974,-2.731939628752959,-2.621053942942569,True,1.5,64007.11785714285,167811.0,2024-06-21 18:30:00+00:00,5.0,1.25,True,1.541036501806418,0.4336489348448752,-1.2326896287529687,-1.6116356858103897
