signal_ts,entry_ts,exit_ts,side,R,entry_overlap,any_lifetime_overlap,same_core_overlap_count,opposite_core_overlap_count,later_core_same_entries,later_core_opposite_entries,branch,align_tf,response_ratio,confirm_min,abs_z
1624799400,1624799520,1624885920,1,0.7243591464938459,NONE,True,2,0,2,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,516442473.560549,2.0,1.3774150974195036
1625030100,1625031060,1625117460,1,-0.6191196029287732,NONE,True,0,1,0,1,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.8222424777143336,16.0,1.6963362661162957
1625117700,1625120760,1625207160,-1,1.6972843422118775,CORE_SAME,True,1,1,0,1,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.5458381275605423,51.0,1.2387377847384669
1625288400,1625288520,1625297700,-1,-1.0026090918268957,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,127.44676971618492,2.0,1.061252603505501
1625312400,1625312700,1625399100,1,1.5030958941577048,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,538090382.0368731,5.0,1.2390883555886527
1625451900,1625452020,1625484840,1,-1.0017669549618085,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,361219702.8928798,2.0,1.478268038697098
1625548800,1625552100,1625638500,-1,-0.10173133547585542,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.9898449265777629,55.0,1.8859651781725157
1625703900,1625703960,1625790360,-1,0.8616957219260598,CORE_SAME,True,1,1,0,1,STRONG_RESPONSE_GE_2.50,H1_ALIGN,21.284122017730216,1.0,2.008305838595285
1625880000,1625880180,1625938500,1,-1.0024729261137368,CORE_OPPOSITE,True,0,1,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,368462416.49670947,3.0,1.2267807432326436
1625995800,1625998500,1626084900,1,-0.0961729316417269,NONE,True,1,0,1,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.5553827344661636,45.0,1.90955017187401
1626097800,1626099420,1626185820,-1,1.3188315382553448,NONE,True,1,0,1,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.5122125786795977,27.0,1.9507623602718667
1626271500,1626272160,1626358560,-1,1.2989413571256796,CORE_SAME,True,2,1,1,1,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.7006802710845366,11.0,1.031618113158445
1626458700,1626463140,1626480660,1,-1.0019547336654353,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.6786298666560437,74.0,1.3297587603056618
1626552000,1626552060,1626619200,1,-1.003174117223421,CORE_OPPOSITE,True,0,2,0,1,STRONG_RESPONSE_GE_2.50,H1_ALIGN,409778842.39719117,1.0,1.3825091310937556
1626680400,1626680520,1626692100,1,-1.0034056962074007,CORE_OPPOSITE,True,0,1,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,462965269.9915436,2.0,1.4162787786682731
1626846600,1626846960,1626862020,-1,-1.0019005668812146,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,497102218.10944545,6.0,1.022460075228179
