feed,period,shift_min,horizon,candidate_n,candidate_ev,complement_ev,incremental
RITHMIC,FULL,-10,15,63,1.5242101445264127,0.10560469203656092,1.4186054524898517
RITHMIC,FULL,-5,5,58,0.9512041271595232,-0.07090936695578068,1.0221134941153038
RITHMIC,FULL,-5,15,58,1.995524792872409,0.09575397556862002,1.8997708173037888
RITHMIC,FULL,-3,5,65,0.6571460355438773,-0.06510966690912216,0.7222557024529994
RITHMIC,FULL,-3,15,65,0.7002532181347347,0.13037031181706843,0.5698829063176662
RITHMIC,FULL,-2,5,77,0.8952623961176374,-0.07828138797917851,0.9735437840968159
RITHMIC,FULL,-2,15,77,1.234721626743462,0.10679827726958119,1.1279233494738807
RITHMIC,FULL,-1,5,94,0.9873710556821371,-0.09068102316299988,1.078052078845137
RITHMIC,FULL,-1,15,94,1.0893139671617,0.10407099795290446,0.9852429692087956
RITHMIC,FULL,1,5,128,0.2090970981475588,-0.059182626022583985,0.2682797241701428
RITHMIC,FULL,1,15,128,0.7898280519883851,0.10650723784665019,0.683320814141735
RITHMIC,FULL,2,5,116,0.18956520357994647,-0.056455099190219606,0.24602030277016607
RITHMIC,FULL,2,15,116,0.6667800436565166,0.11776082759937806,0.5490192160571385
RITHMIC,FULL,3,5,101,0.08419057804365386,-0.049380498143468364,0.13357107618712222
RITHMIC,FULL,3,15,101,0.5550619378347793,0.12767444808576053,0.42738748974901875
RITHMIC,FULL,5,5,102,-0.156470604164647,-0.03732426628714265,-0.11914633787750435
RITHMIC,FULL,5,15,102,0.2881586611464343,0.1407870086241559,0.14737165252227838
RITHMIC,FULL,10,5,82,0.0424636688505945,-0.046466338240590044,0.08893000709118454
RITHMIC,FULL,10,15,82,0.6250098339219071,0.128638134612761,0.49637169930914615
RITHMIC,FULL,15,5,64,0.11865763375749329,-0.04805415870903415,0.16671179246652745
RITHMIC,FULL,15,15,64,0.689703915805087,0.13097794395733933,0.5587259718477477
RITHMIC,FULL,30,5,67,-0.3667369298374558,-0.032509838134538026,-0.3342270917029178
RITHMIC,FULL,30,15,67,0.027630359662887783,0.15177882464209244,-0.12414846497920466
RITHMIC,FULL,60,5,67,-0.022136398308066223,-0.043717719499814275,0.021581321191748052
RITHMIC,FULL,60,15,67,-0.042138790444719826,0.15412422128050346,-0.19626301172522329
RITHMIC,FULL,120,5,52,-0.15483390151463566,-0.04023627854337196,-0.1145976229712637
RITHMIC,FULL,120,15,52,0.26824628107614473,0.14486465364587792,0.12338162743026682
AMP,TRAIN,-120,5,15,0.06430089844606303,-0.02821885285663498,0.09251975130269802
AMP,TRAIN,-120,15,15,-0.5336462232256499,0.16518113808470034,-0.6988273613103503
AMP,TRAIN,-60,5,28,0.14552118390988364,-0.03391174681393126,0.1794329307238149
AMP,TRAIN,-60,15,28,0.5641291126023794,0.1316008074038671,0.4325283051985123
AMP,TRAIN,-30,5,20,-0.5023721797085018,-0.011245084265650549,-0.4911270954428512
AMP,TRAIN,-30,15,20,-0.6055148063400935,0.17408989730962277,-0.7796047036497162
