episode_id,rule,gc_t0_ms,event_utc,period,prediction,source_signal_direction,quiet_start,signal_index,elapsed_s,directional_balance,run_length_same_direction,direction_flips_so_far,hit1,hit2,hit3,fixed5m_ev_atr,mfe5_atr,mae5_atr
224,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786318470000,2026-08-09T23:34:30+00:00,TRAIN,1,1,False,4,270.0,0.5,1,1,,False,False,0.0342885133481501,1.4606906686259575,-0.4697526328682226
232,R1_EARLY_DOMINANCE_3,1786321830000,2026-08-10T00:30:30+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,-0.8701553848899967,0.7751384175746105,-1.1126986961958634
232,R2_EARLY_QUIET_DOMINANCE_3,1786321830000,2026-08-10T00:30:30+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,-0.8701553848899967,0.7751384175746105,-1.1126986961958634
232,R3_RUN3_BEFORE240,1786321830000,2026-08-10T00:30:30+00:00,TRAIN,1,1,True,3,180.0,1.0,3,0,,False,False,-0.8701553848899967,0.7751384175746105,-1.1126986961958634
233,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786322280000,2026-08-10T00:38:00+00:00,TRAIN,-1,-1,False,4,240.0,0.0,1,3,,False,False,-0.0670792573367325,0.4499900179678196,-1.372329806348528
238,R3_RUN3_BEFORE240,1786324170000,2026-08-10T01:09:30+00:00,TRAIN,1,1,False,3,210.0,1.0,3,0,,False,False,-0.8494867835408174,0.0050867472067107,-0.7935325642658427
239,R1_EARLY_DOMINANCE_3,1786324470000,2026-08-10T01:14:30+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.0047449584815012,0.9086595492289518,-0.1565836298932081
239,R2_EARLY_QUIET_DOMINANCE_3,1786324470000,2026-08-10T01:14:30+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.0047449584815012,0.9086595492289518,-0.1565836298932081
239,R3_RUN3_BEFORE240,1786324470000,2026-08-10T01:14:30+00:00,TRAIN,1,1,True,3,150.0,1.0,3,0,,False,False,-0.0047449584815012,0.9086595492289518,-0.1565836298932081
243,R5_DOMINANCE_REASSERT_AFTER_FLIP,1786326060000,2026-08-10T01:41:00+00:00,TRAIN,1,1,False,4,300.0,0.5,1,2,,False,False,1.590866852515843,1.9625647152527943,-0.2731979291117861
245,R3_RUN3_BEFORE240,1786326840000,2026-08-10T01:54:00+00:00,TRAIN,1,1,True,3,240.0,1.0,3,0,,False,False,-0.6849485821130938,0.58460579619827,-1.153942038018292
246,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786327290000,2026-08-10T02:01:30+00:00,TRAIN,-1,-1,False,4,270.0,0.0,1,2,,False,False,0.4855955281639789,0.9571449046869098,-0.822703167550591
248,R3_RUN3_BEFORE240,1786328160000,2026-08-10T02:16:00+00:00,TRAIN,-1,-1,True,3,210.0,1.0,3,0,,False,False,-0.663549895212141,0.2708366919230296,-0.8869901660487944
