### SHEET Sheet1 dim=273x15
224	2024.08.26 20:00:00	46	XAUUSD	buy	in	0.24	2520.34	46	-0.42	0.0	0.0	103057.39	CTX BUY E75 C76		
225	2024.08.27 04:13:37	47	XAUUSD	sell	out	0.24	2509.82	47	-0.42	-19.92	-252.48	102784.57	sl 2509.84		
226	2024.09.11 01:05:00	48	XAUUSD	buy	in	0.29	2516.86	48	-0.51	0.0	0.0	102784.06	CTX BUY E75 C76		
227	2024.09.11 15:36:39	49	XAUUSD	sell	out	0.29	2508.29	49	-0.51	0.0	-248.53	102535.02	sl 2508.32		
228	2024.09.12 08:00:00	50	XAUUSD	buy	in	0.31	2517.19	50	-0.55	0.0	0.0	102534.47	CTX BUY E100 C76		
229	2024.09.12 15:41:38	51	XAUUSD	sell	out	0.31	2529.48	51	-0.55	0.0	380.99	102914.91	tp 2529.47		
230	2024.10.29 04:00:00	52	XAUUSD	buy	in	0.29	2745.97	52	-0.56	0.0	0.0	102914.35	CTX BUY E75 C76		
231	2024.10.29 16:37:41	53	XAUUSD	sell	out	0.29	2758.97	53	-0.56	0.0	377.0	103290.79	tp 2758.97		
232	2025.02.19 04:00:00	54	XAUUSD	buy	in	0.23	2938.76	54	-0.47	0.0	0.0	103290.32	CTX BUY E75 C76		
233	2025.02.19 04:48:41	55	XAUUSD	sell	out	0.23	2927.88	55	-0.47	0.0	-250.24	103039.61	sl 2927.88		
234	2025.03.12 12:00:00	56	XAUUSD	buy	in	0.18	2922.61	56	-0.37	0.0	0.0	103039.24	CTX BUY E75 C76		
235	2025.03.12 16:24:30	57	XAUUSD	sell	out	0.18	2908.88	57	-0.37	0.0	-247.14	102791.73	sl 2908.91		
236	2025.03.26 12:00:00	58	XAUUSD	buy	in	0.25	3024.17	58	-0.53	0.0	0.0	102791.2	CTX BUY E75 C76		
237	2025.03.26 18:01:37	59	XAUUSD	sell	out	0.25	3013.93	59	-0.53	0.0	-256.0	102534.67	sl 3013.95		
238	2025.03.27 08:00:00	60	XAUUSD	buy	in	0.19	3034.38	60	-0.4	0.0	0.0	102534.27	CTX BUY E75 C76		
239	2025.03.27 13:30:25	61	XAUUSD	sell	out	0.19	3053.59	61	-0.41	0.0	364.99	102898.85	tp 3053.55		
240	2025.04.29 20:00:00	62	XAUUSD	buy	in	0.1	3329.03	62	-0.23	0.0	0.0	102898.62	CTX BUY E75 C76		
241	2025.04.30 06:42:04	63	XAUUSD	sell	out	0.1	3304.16	63	-0.23	-8.3	-248.7	102641.39	sl 3304.18		
242	2025.06.04 12:00:00	64	XAUUSD	buy	in	0.15	3363.07	64	-0.35	0.0	0.0	102641.04	CTX BUY E75 C76		
243	2025.06.04 14:27:28	65	XAUUSD	sell	out	0.15	3346.54	65	-0.35	0.0	-247.95	102392.74	sl 3346.54		
244	2025.07.07 01:05:00	66	XAUUSD	buy	in	0.21	3341.7	66	-0.49	0.0	0.0	102392.25	CTX BUY E75 C76		
245	2025.07.07 02:17:32	67	XAUUSD	sell	out	0.21	3329.58	67	-0.49	0.0	-254.52	102137.24	sl 3329.59		
246	2025.09.15 12:00:00	68	XAUUSD	buy	in	0.19	3645.64	68	-0.48	0.0	0.0	102136.76	CTX BUY E75 C76		
247	2025.09.15 18:09:14	69	XAUUSD	sell	out	0.19	3665.57	69	-0.49	0.0	378.67	102514.94	tp 3665.57		
248	2025.09.17 16:00:00	70	XAUUSD	buy	in	0.13	3678.9	70	-0.33	0.0	0.0	102514.61	CTX BUY E75 C76		
