SL,TP,hold,RR,N,pos_years,EV,PF,MaxDD_R,SumR,R_DD,Y2021,Y2022,Y2023,Y2024,Y2025
1.75,4.0,12,2.2857142857142856,2410,3,0.006669320514969282,1.0103417031616855,58.069869353648066,16.07306244107597,0.276788334810783,24.122192131402397,26.556601597161915,4.580382272774596,-4.456683706614809,-34.72942985364792
1.75,4.0,18,2.2857142857142856,2369,3,0.006408915900045366,1.0095226491930347,70.0801926196319,15.182721767207472,0.21664783157223033,29.016260244952484,30.760231664530856,7.303950637881001,-17.54592954447905,-34.351791235677744
1.75,4.0,24,2.2857142857142856,2338,3,0.004541832846305544,1.0066424003843994,73.89859232912345,10.618805194662361,0.14369428239402995,33.857345300338714,29.02002469408649,2.721016148614689,-22.41012659494586,-32.56945435343144
1.75,6.0,6,3.4285714285714284,2420,2,0.014076630808575664,1.0234216691548172,69.97765919340674,34.06544655675311,0.48680460234604045,67.97626250134756,-0.5094190683595741,-9.643636055809022,-33.30611174447367,9.548350924047934
1.75,6.0,12,3.4285714285714284,2338,4,0.023509508184817823,1.0345636717625422,60.153588874653934,54.96523013610407,0.9137481431180906,51.02758745331571,2.6964285481134116,6.487096145168431,-13.217743748417714,7.971861737924291
1.75,6.0,18,3.4285714285714284,2248,4,0.023811047823019897,1.0330529488392037,64.49108170464149,53.52723550614873,0.8299943820340095,52.298879512462456,11.13702879701538,3.6351815038680666,-18.528299391011867,4.984445083814435
1.75,6.0,24,3.4285714285714284,2196,3,0.027980104464891617,1.037927750104876,77.81888741257757,61.44430940490199,0.7895809288449296,64.91441938683703,14.231937236539617,-2.7134807676178023,-23.49351758191332,8.50495113105636
1.75,8.0,6,4.571428571428571,2388,2,0.0070414705692770025,1.0115718844984143,104.83965308127162,16.81503171943348,0.160388090052134,87.89879918799232,-14.626285697246697,-22.759736375056843,-44.915333592147284,11.217588195892132
1.75,8.0,12,4.571428571428571,2282,3,0.02847915342634444,1.0411138238301012,79.64269931837181,64.98942811891801,0.8160123737032402,71.31085700915627,-7.75126003396875,7.763363318006152,-37.426977060677416,31.09344488640189
1.75,8.0,18,4.571428571428571,2169,3,0.03629137748754686,1.049125924511403,72.73957611610048,78.71599777048912,1.0821618982883487,65.18733965197461,10.834366858411467,-5.316695182735555,-15.63173326964685,23.642719712485416
1.75,8.0,24,4.571428571428571,2100,3,0.038010466154258814,1.0499268650033722,87.77744138750751,79.8219789239435,0.9093678018200217,82.4723018978382,4.736404814506145,-17.295465688713673,-15.943246266757358,25.851984167070196
2.0,1.5,6,0.75,2539,1,-0.051118998247957584,0.882098808208268,158.1869718957678,-129.7911365515643,-0.8204919469416607,7.376504336801719,-17.94719919808064,-31.81883168168448,-45.14853811222219,-42.25307189637877
2.0,1.5,12,0.75,2519,1,-0.04613983470094298,0.8967283483810651,151.0056725562316,-116.22624361167537,-0.7696813082859186,9.697396671959094,-13.064909461400507,-31.973195357706174,-41.18844606198632,-39.697089402541366
2.0,1.5,18,0.75,2514,1,-0.04668229737834478,0.8965999650175956,153.4498562874982,-117.35929560915876,-0.7648055100767156,10.107405353360196,-15.688676308659243,-30.246340005715556,-45.14431126966858,-36.387373378475495
2.0,1.5,24,0.75,2506,1,-0.04577306684425388,0.8989345695376254,151.84418483897048,-114.70730551170023,-0.7554277144913149,10.902905398889835,-15.832916748373894,-30.625963255655115,-43.72018638209359,-35.43114452446736
2.0,2.0,6,1.0,2528,1,-0.04463658642857064,0.9076058144253113,142.87517008707803,-112.84129049142659,-0.7897893694380436,11.518160835381838,-19.291875431418358,-23.36771642337154,-44.96062288001431,-36.73923659200425
2.0,2.0,12,1.0,2504,1,-0.043897655615395284,0.9137135366115319,144.96786277021198,-109.91972966094978,-0.7582351533676339,4.364982340385644,-15.303137377508838,-23.596342878786515,-40.52719768684305,-34.85803405819702
2.0,2.0,18,1.0,2495,1,-0.047310080410905044,0.9087395940798066,154.578982208739,-118.03865062520808,-0.7636138428302761,2.2868231937395915,-17.566423387134364,-24.182420458410157,-48.248942423878525,-30.327687549524704
2.0,2.0,24,1.0,2482,1,-0.04554632536107681,0.9125903123096233,150.47589459602642,-113.04597954619265,-0.7512564045535691,4.953112317858392,-16.397338967388507,-25.73856723617316,-46.84435490306104,-29.01883075742846
2.0,3.0,6,1.5,2479,1,-0.04299025224145108,0.9193547404433551,145.07752498356797,-106.57283530655724,-0.7345923175807423,11.106554737591278,-23.15086508753954,-24.07425459054759,-39.425248741703975,-31.029021624357295
2.0,3.0,12,1.5,2436,1,-0.020873961075630353,0.9637394600943475,112.06560490496531,-50.848969180235535,-0.45374286984268586,17.424704877846118,-3.579698022751691,-16.107383792124473,-29.37372642917679,-19.212865814028692
