transition_time,destination,lag,window,seq_score,active_count,rank,top2
2020-02-18 04:00:00+00:00,PULLBACK,1,2,40.0,2.0,2.0,True
2020-02-18 04:00:00+00:00,PULLBACK,1,3,60.0,3.0,1.0,True
2020-02-18 04:00:00+00:00,PULLBACK,2,1,40.0,2.0,2.0,True
2020-02-18 04:00:00+00:00,PULLBACK,2,2,60.0,3.0,1.0,True
2020-02-18 04:00:00+00:00,PULLBACK,2,3,60.0,3.0,1.0,True
2020-02-18 04:00:00+00:00,PULLBACK,3,1,50.0,2.0,1.0,True
2020-02-18 04:00:00+00:00,PULLBACK,3,2,60.0,3.0,1.0,True
2020-02-18 04:00:00+00:00,PULLBACK,3,3,60.0,3.0,1.0,True
2020-02-18 20:00:00+00:00,EXPANSION,1,1,25.0,2.0,3.0,False
2020-02-18 20:00:00+00:00,EXPANSION,1,2,25.0,2.0,3.0,False
2020-02-18 20:00:00+00:00,EXPANSION,1,3,25.0,2.0,3.0,False
2020-02-18 20:00:00+00:00,EXPANSION,2,1,10.0,1.0,3.0,False
2020-02-18 20:00:00+00:00,EXPANSION,2,2,10.0,1.0,3.0,False
2020-02-18 20:00:00+00:00,EXPANSION,2,3,10.0,1.0,3.0,False
2020-02-18 20:00:00+00:00,EXPANSION,3,1,0.0,0.0,4.0,False
2020-02-18 20:00:00+00:00,EXPANSION,3,2,10.0,1.0,3.0,False
2020-02-18 20:00:00+00:00,EXPANSION,3,3,20.0,2.0,3.0,False
2020-02-19 16:00:00+00:00,PULLBACK,1,1,10.0,1.0,3.0,False
2020-02-19 16:00:00+00:00,PULLBACK,1,2,10.0,1.0,3.0,False
2020-02-19 16:00:00+00:00,PULLBACK,1,3,10.0,1.0,3.0,False
2020-02-19 16:00:00+00:00,PULLBACK,2,1,10.0,1.0,3.0,False
2020-02-19 16:00:00+00:00,PULLBACK,2,2,10.0,1.0,3.0,False
2020-02-19 16:00:00+00:00,PULLBACK,2,3,20.0,2.0,3.0,False
2020-02-19 16:00:00+00:00,PULLBACK,3,1,10.0,1.0,3.0,False
2020-02-19 16:00:00+00:00,PULLBACK,3,2,20.0,2.0,3.0,False
2020-02-19 16:00:00+00:00,PULLBACK,3,3,35.0,3.0,3.0,False
2020-02-20 04:00:00+00:00,EXPANSION,1,1,10.0,1.0,3.0,False
2020-02-20 04:00:00+00:00,EXPANSION,1,2,25.0,2.0,2.0,True
