flow_id,signal_time,side,frozen_signed12_atr,signal_close,atr14,level,distance_atr,distance_bin,oi_logchg_3h,oi_backed,touch_time,class_time,state,class_price,residual_atr,oi_flush,oi_flush_logchg
1053,2022-10-07 06:45:00+00:00,-1,8.443908323281052,19846.4,47.37142857142862,19800.0,0.9794933655006328,0.5-1,-0.0060077358282342175,False,2022-10-07 12:15:00+00:00,2022-10-07 12:30:00+00:00,ACCEPT,19773.3,6.9007840772013935,True,-0.031315908140557625
1054,2022-10-07 18:45:00+00:00,-1,-0.6985670419651966,19446.4,83.7428571428575,19304.4,1.6956670078471439,1-2,-0.014880622217564365,False,,,NO_TOUCH,,,,
1055,2022-10-08 22:15:00+00:00,-1,-1.1909226797119503,19347.1,52.56428571428608,19200.0,2.7984780540833882,>2,-0.006368788647098,False,,,NO_TOUCH,,,,
1056,2022-10-09 10:45:00+00:00,-1,2.540048543689371,19480.0,35.3142857142853,19310.0,4.8139158576052345,>2,-0.007668631952871152,False,,,NO_TOUCH,,,,
1057,2022-10-09 23:15:00+00:00,-1,1.4711316397228185,19401.3,37.11428571428587,19333.0,1.8402617397998187,1-2,0.0031419298114236938,True,2022-10-10 08:00:00+00:00,2022-10-10 08:00:00+00:00,ACCEPT,19286.8,-1.6139337952271302,False,0.021390533124115763
1058,2022-10-10 11:45:00+00:00,1,-3.896604722649145,19323.2,51.121428571428886,19513.0,3.7127287969819385,>2,0.009044326497324562,True,,,NO_TOUCH,,,,
1059,2022-10-10 23:45:00+00:00,-1,-0.4576549286886541,19124.0,56.59285714285709,19000.0,2.191089233876059,>2,-0.010610650053539672,False,2022-10-11 00:00:00+00:00,2022-10-11 00:00:00+00:00,ACCEPT,18977.9,-3.0392528082796946,True,-0.0035435251678173074
1060,2022-10-11 11:45:00+00:00,1,-2.4791938794551536,19149.9,38.27857142857153,19155.1,0.13584623997006728,<=0.5,0.0054645857166431,True,2022-10-11 11:45:00+00:00,2022-10-11 12:00:00+00:00,ACCEPT,19188.9,-3.4980406792312286,True,-0.004929622102377351
1061,2022-10-11 23:45:00+00:00,1,1.429857170808085,19055.0,36.50714285714275,19260.0,5.615339463901405,>2,0.004460951267809321,True,,,NO_TOUCH,,,,
1062,2022-10-12 11:45:00+00:00,1,1.3044073989494935,19107.2,31.27857142857179,19193.9,2.7718657227677466,>2,-0.013044661852273265,False,2022-10-12 22:00:00+00:00,2022-10-12 22:00:00+00:00,ACCEPT,19195.4,-1.515414478191397,True,-0.009356733205173384
1063,2022-10-13 02:30:00+00:00,-1,21.324825986079063,19066.3,30.785714285714025,19030.6,1.1596287703016577,1-2,-0.011206834573666669,False,2022-10-13 02:30:00+00:00,2022-10-13 03:15:00+00:00,REJECT,19092.8,22.185614849188124,True,-0.0013043577718079291
1064,2022-10-13 14:30:00+00:00,1,7.688311688311694,18409.8,180.94999999999996,19109.2,3.8651561204752785,>2,-0.01148144335522261,False,2022-10-13 16:30:00+00:00,2022-10-13 16:30:00+00:00,ACCEPT,19162.7,3.5274937828129285,True,-0.012932866910166041
1065,2022-10-14 02:30:00+00:00,1,-4.6380705475685335,19801.0,90.92142857142893,19947.9,1.615680729043925,1-2,-0.017662850457620394,False,,,NO_TOUCH,,,,
