source_index,parent_time,signal_time,fill_time,real_fill,real_R,episode_7d,ret_24h,ret_72h,ret_7d,range_pos_7d,range_pos_30d,rv_ratio_24h_7d,range_ratio_24h_7d,parent_range_pct,parent_body_frac,parent_reclaim_frac,router_conf,child_latency_h,child_parent_range_ratio,prior_virtual_fills,episode_age_h,parent_bin,response_bin,parent_class,vf_class
92,2023-05-25 03:45:00+00:00,2023-05-25 04:15:00+00:00,,False,0.0,39,-0.0206717728287259,-0.0179676282176184,-0.0405265841988862,0.2069288274197325,0.0938492711632511,1.3365309035287984,0.5955454019237162,0.0199543838690606,0.2780584902771378,0.5968266727913069,0.4250985744886508,0.5,0.1152197213290475,0.0,0.0,1P5_2,LOW,LARGE,VF1
93,2023-06-30 15:45:00+00:00,2023-06-30 16:30:00+00:00,,False,0.0,40,-0.0045897651644426,-0.011139168979325,-0.0169856340119087,0.4925529354475793,0.8413827628114852,1.6621695320153371,0.997419694281348,0.0544557419052725,0.5144195534274667,0.3467288806371237,0.3156881446035925,0.75,0.2023012654517036,0.0,0.0,GE3,MID,LARGE,VF1
94,2023-07-18 19:45:00+00:00,2023-07-18 22:45:00+00:00,2023-07-18 23:00:00+00:00,False,0.0,41,-0.009534742054437,-0.0153783569783743,-0.0250090159842037,0.1342291248582149,0.6423224922724775,0.8314170290041067,0.3175028357036901,0.0152439814389492,0.4327247842115634,0.4503189915892202,0.3342019058007003,3.0,0.0598909468200121,0.0,0.0,1P5_2,LOW,LARGE,VF1
95,2023-07-24 15:45:00+00:00,2023-07-24 16:30:00+00:00,2023-07-24 17:30:00+00:00,True,-1.2034163168206016,41,-0.0281790771303828,-0.0242450450450449,-0.0330859576514888,0.1582002622849652,0.0836386500356864,1.5797693526694838,0.956632981048626,0.0140270532051867,0.4317814261210571,0.5681940700808581,0.3607704857407801,0.75,0.1751041411418754,1.0,137.75,1_1P5,MID,COMPACT,VF1
97,2023-08-31 23:45:00+00:00,2023-09-01 00:15:00+00:00,2023-09-01 01:00:00+00:00,False,0.0,43,-0.044685448225314,-0.0024600552410596,-0.0045103292391186,0.150214644028556,0.1698936589208352,1.1735207890210493,0.7767782494051064,0.0208108622793918,0.4112438640363084,0.5293507455774739,0.4026125812996839,0.5,0.0867092710938244,0.0,0.0,2_3,LOW,LARGE,VF1
98,2023-09-01 19:45:00+00:00,2023-09-01 20:30:00+00:00,,False,0.0,43,-0.0130807616651846,-0.0699927932841197,-0.0093879668049792,0.160158057740914,0.1216325324931078,0.9868259732968726,0.2927094087074153,0.0245819370606955,0.2622695980457482,0.4947653944989066,0.3659534065401071,0.75,0.3200723327305596,1.0,20.25,2_3,HIGH,LARGE,VF1
99,2023-09-11 23:45:00+00:00,2023-09-12 00:00:00+00:00,2023-09-12 00:15:00+00:00,False,0.0,44,-0.0263824290803852,-0.0274063835619612,-0.0241012537006289,0.1877954030430555,0.0604986734302256,1.3884182135194554,0.6472580123017149,0.0125583606093507,0.4489240506329132,0.8275949367088622,0.3606895471426328,0.25,0.1210759493670835,0.0,0.0,1_1P5,LOW,COMPACT,VF1
100,2023-09-24 19:45:00+00:00,2023-09-24 20:45:00+00:00,2023-09-24 21:00:00+00:00,False,0.0,45,-0.0032251694859474,-0.0034691696629272,0.0024833231516454,0.1447950791106145,0.4938538180359982,0.5767434872125276,0.3508834599567855,0.0152265647655483,0.3200407220718675,0.2814789064633801,0.3203319423278289,1.0,0.1157599384202791,0.0,0.0,1P5_2,LOW,LARGE,VF1
101,2023-09-25 03:45:00+00:00,2023-09-25 04:15:00+00:00,2023-09-25 04:30:00+00:00,True,-1.4949768255769902,45,-0.0146839351832162,-0.0174000844554966,-0.0158759458180248,0.1197719015617724,0.3938152598053578,0.941802734863942,0.4978127085341446,0.0131167220046296,0.2650539201398982,0.4589041095890451,0.3873872985629117,0.5,0.077032935004373,1.0,7.5,1_1P5,LOW,COMPACT,VF1
102,2023-10-11 07:45:00+00:00,2023-10-11 09:45:00+00:00,2023-10-11 10:00:00+00:00,False,0.0,46,-0.0136432074063229,-0.0212835559636713,-0.0124705030763663,0.2409951056679516,0.6481217722207118,1.0816830615669852,0.5344896286773274,0.0066249845033389,0.033013071165232,0.3187353368338798,0.4101888187997875,2.0,0.5902133839794413,0.0,0.0,LT1,HIGH,COMPACT,VF1
